Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, BUCHAREST - ILFOV, Year 2015, Number of persons, 2284443
Total, Total, Total, BUCHAREST - ILFOV, Year 2016, Number of persons, 2288203
Total, Total, Total, BUCHAREST - ILFOV, Year 2017, Number of persons, 2287065
Total, Total, Total, BUCHAREST - ILFOV, Year 2018, Number of persons, 2302291
Total, Total, Total, BUCHAREST - ILFOV, Year 2019, Number of persons, 2318109
Total, Total, Total, BUCHAREST - ILFOV, Year 2020, Number of persons, 2327921
Total, Total, Total, BUCHAREST - ILFOV, Year 2021, Number of persons, 2327057
Total, Total, Total, BUCHAREST - ILFOV, Year 2022, Number of persons, 2341673
Total, Total, Total, Ilfov, Year 2012, Number of persons, 392279
Total, Total, Total, Ilfov, Year 2013, Number of persons, 406855
Total, Total, Total, Ilfov, Year 2014, Number of persons, 417850
Total, Total, Total, Ilfov, Year 2015, Number of persons, 430805
Total, Total, Total, Ilfov, Year 2016, Number of persons, 444241
Total, Total, Total, Ilfov, Year 2017, Number of persons, 460486
Total, Total, Total, Ilfov, Year 2018, Number of persons, 473422
Total, Total, Total, Ilfov, Year 2019, Number of persons, 485307
Total, Total, Total, Ilfov, Year 2020, Number of persons, 486869
Total, Total, Total, Ilfov, Year 2021, Number of persons, 503531
Total, Total, Total, Ilfov, Year 2022, Number of persons, 512586
Total, Total, Total, Bucharest Municipality, Year 2012, Number of persons, 1886866
Total, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 1875389
Total, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 1865563
Total, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 1853638
Total, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 1843962
Total, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 1826579
Total, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 1828869
Total, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 1832802
Total, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 1841052
Total, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 1823526
Total, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 1829087
Total, Total, Total, MACROREGION 4, Year 2012, Number of persons, 3895444
Total, Total, Total, MACROREGION 4, Year 2013, Number of persons, 3873300
Total, Total, Total, MACROREGION 4, Year 2014, Number of persons, 3852147
Total, Total, Total, MACROREGION 4, Year 2015, Number of persons, 3827975
Total, Total, Total, MACROREGION 4, Year 2016, Number of persons, 3795694
Total, Total, Total, MACROREGION 4, Year 2017, Number of persons, 3765490
Total, Total, Total, MACROREGION 4, Year 2018, Number of persons, 3734109
Total, Total, Total, MACROREGION 4, Year 2019, Number of persons, 3704947
Total, Total, Total, MACROREGION 4, Year 2020, Number of persons, 3684234
Total, Total, Total, MACROREGION 4, Year 2021, Number of persons, 3650660
Total, Total, Total, MACROREGION 4, Year 2022, Number of persons, 3608536
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2012, Number of persons, 2067357
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2013, Number of persons, 2048702
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2014, Number of persons, 2033784
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2015, Number of persons, 2015792
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2016, Number of persons, 1993482
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2017, Number of persons, 1972940
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2018, Number of persons, 1949813
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2019, Number of persons, 1927215
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2020, Number of persons, 1911414
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2021, Number of persons, 1892078
Total, Total, Total, SOUTH - WEST OLTENIA, Year 2022, Number of persons, 1864075
Total, Total, Total, Dolj, Year 2012, Number of persons, 659016
Total, Total, Total, Dolj, Year 2013, Number of persons, 654456
Total, Total, Total, Dolj, Year 2014, Number of persons, 650767
Total, Total, Total, Dolj, Year 2015, Number of persons, 646620
Total, Total, Total, Dolj, Year 2016, Number of persons, 641040
Total, Total, Total, Dolj, Year 2017, Number of persons, 635606
Total, Total, Total, Dolj, Year 2018, Number of persons, 631026
Total, Total, Total, Dolj, Year 2019, Number of persons, 626017
Total, Total, Total, Dolj, Year 2020, Number of persons, 622148
Total, Total, Total, Dolj, Year 2021, Number of persons, 615962
Total, Total, Total, Dolj, Year 2022, Number of persons, 610780
Total, Total, Total, Gorj, Year 2012, Number of persons, 340030
Total, Total, Total, Gorj, Year 2013, Number of persons, 336995
Total, Total, Total, Gorj, Year 2014, Number of persons, 334849
Total, Total, Total, Gorj, Year 2015, Number of persons, 331428
Total, Total, Total, Gorj, Year 2016, Number of persons, 327537
Total, Total, Total, Gorj, Year 2017, Number of persons, 323634
Total, Total, Total, Gorj, Year 2018, Number of persons, 319903
Total, Total, Total, Gorj, Year 2019, Number of persons, 315508
Total, Total, Total, Gorj, Year 2020, Number of persons, 312035
Total, Total, Total, Gorj, Year 2021, Number of persons, 307967
Total, Total, Total, Gorj, Year 2022, Number of persons, 303560
Total, Total, Total, Mehedinti, Year 2012, Number of persons, 264338
Total, Total, Total, Mehedinti, Year 2013, Number of persons, 261670
Total, Total, Total, Mehedinti, Year 2014, Number of persons, 259026
Total, Total, Total, Mehedinti, Year 2015, Number of persons, 256011
Total, Total, Total, Mehedinti, Year 2016, Number of persons, 252600
Total, Total, Total, Mehedinti, Year 2017, Number of persons, 249336
Total, Total, Total, Mehedinti, Year 2018, Number of persons, 244960
Total, Total, Total, Mehedinti, Year 2019, Number of persons, 241153
Total, Total, Total, Mehedinti, Year 2020, Number of persons, 238830
Total, Total, Total, Mehedinti, Year 2021, Number of persons, 236460
Total, Total, Total, Mehedinti, Year 2022, Number of persons, 230601
Total, Total, Total, Olt, Year 2012, Number of persons, 433839
Total, Total, Total, Olt, Year 2013, Number of persons, 428160
Total, Total, Total, Olt, Year 2014, Number of persons, 423445
Total, Total, Total, Olt, Year 2015, Number of persons, 418463
Total, Total, Total, Olt, Year 2016, Number of persons, 412491
Total, Total, Total, Olt, Year 2017, Number of persons, 407717
Total, Total, Total, Olt, Year 2018, Number of persons, 400763
Total, Total, Total, Olt, Year 2019, Number of persons, 394448
Total, Total, Total, Olt, Year 2020, Number of persons, 389906
Total, Total, Total, Olt, Year 2021, Number of persons, 385775
Total, Total, Total, Olt, Year 2022, Number of persons, 376876
Total, Total, Total, Valcea, Year 2012, Number of persons, 370134
Total, Total, Total, Valcea, Year 2013, Number of persons, 367421
Total, Total, Total, Valcea, Year 2014, Number of persons, 365697
Total, Total, Total, Valcea, Year 2015, Number of persons, 363270
Total, Total, Total, Valcea, Year 2016, Number of persons, 359814
Total, Total, Total, Valcea, Year 2017, Number of persons, 356647
Total, Total, Total, Valcea, Year 2018, Number of persons, 353161
Total, Total, Total, Valcea, Year 2019, Number of persons, 350089
Total, Total, Total, Valcea, Year 2020, Number of persons, 348495
Total, Total, Total, Valcea, Year 2021, Number of persons, 345914
Total, Total, Total, Valcea, Year 2022, Number of persons, 342258
Total, Total, Total, WEST, Year 2012, Number of persons, 1828087
Total, Total, Total, WEST, Year 2013, Number of persons, 1824598
Total, Total, Total, WEST, Year 2014, Number of persons, 1818363
Total, Total, Total, WEST, Year 2015, Number of persons, 1812183
Total, Total, Total, WEST, Year 2016, Number of persons, 1802212
Total, Total, Total, WEST, Year 2017, Number of persons, 1792550
Total, Total, Total, WEST, Year 2018, Number of persons, 1784296
Total, Total, Total, WEST, Year 2019, Number of persons, 1777732
Total, Total, Total, WEST, Year 2020, Number of persons, 1772820
Total, Total, Total, WEST, Year 2021, Number of persons, 1758582
Total, Total, Total, WEST, Year 2022, Number of persons, 1744461
Total, Total, Total, Arad, Year 2012, Number of persons, 430683
Total, Total, Total, Arad, Year 2013, Number of persons, 429625
Total, Total, Total, Arad, Year 2014, Number of persons, 428079
Total, Total, Total, Arad, Year 2015, Number of persons, 426517
Total, Total, Total, Arad, Year 2016, Number of persons, 424075
Total, Total, Total, Arad, Year 2017, Number of persons, 421954
Total, Total, Total, Arad, Year 2018, Number of persons, 419135
Total, Total, Total, Arad, Year 2019, Number of persons, 417274
Total, Total, Total, Arad, Year 2020, Number of persons, 415914
Total, Total, Total, Arad, Year 2021, Number of persons, 413030
Total, Total, Total, Arad, Year 2022, Number of persons, 409112
Total, Total, Total, Caras-Severin, Year 2012, Number of persons, 294575
Total, Total, Total, Caras-Severin, Year 2013, Number of persons, 291874
Total, Total, Total, Caras-Severin, Year 2014, Number of persons, 289011
Total, Total, Total, Caras-Severin, Year 2015, Number of persons, 286205
Total, Total, Total, Caras-Severin, Year 2016, Number of persons, 282467
Total, Total, Total, Caras-Severin, Year 2017, Number of persons, 279123
Total, Total, Total, Caras-Severin, Year 2018, Number of persons, 275041
Total, Total, Total, Caras-Severin, Year 2019, Number of persons, 271379
Total, Total, Total, Caras-Severin, Year 2020, Number of persons, 269810
Total, Total, Total, Caras-Severin, Year 2021, Number of persons, 266283
Total, Total, Total, Caras-Severin, Year 2022, Number of persons, 261561
Total, Total, Total, Hunedoara, Year 2012, Number of persons, 417008
Total, Total, Total, Hunedoara, Year 2013, Number of persons, 412336
Total, Total, Total, Hunedoara, Year 2014, Number of persons, 408002
Total, Total, Total, Hunedoara, Year 2015, Number of persons, 403701
Total, Total, Total, Hunedoara, Year 2016, Number of persons, 398950
Total, Total, Total, Hunedoara, Year 2017, Number of persons, 393198
Total, Total, Total, Hunedoara, Year 2018, Number of persons, 388614
Total, Total, Total, Hunedoara, Year 2019, Number of persons, 383787
Total, Total, Total, Hunedoara, Year 2020, Number of persons, 380511
Total, Total, Total, Hunedoara, Year 2021, Number of persons, 373769
Total, Total, Total, Hunedoara, Year 2022, Number of persons, 367277
Total, Total, Total, Timis, Year 2012, Number of persons, 685821
Total, Total, Total, Timis, Year 2013, Number of persons, 690763
Total, Total, Total, Timis, Year 2014, Number of persons, 693271
Total, Total, Total, Timis, Year 2015, Number of persons, 695760
Total, Total, Total, Timis, Year 2016, Number of persons, 696720
Total, Total, Total, Timis, Year 2017, Number of persons, 698275
Total, Total, Total, Timis, Year 2018, Number of persons, 701506
Total, Total, Total, Timis, Year 2019, Number of persons, 705292
Total, Total, Total, Timis, Year 2020, Number of persons, 706585
Total, Total, Total, Timis, Year 2021, Number of persons, 705500
Total, Total, Total, Timis, Year 2022, Number of persons, 706511
