Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, CENTER, Year 2021, Number of persons, 2302833
Total, Total, Total, CENTER, Year 2022, Number of persons, 2290880
Total, Total, Total, Alba, Year 2012, Number of persons, 341479
Total, Total, Total, Alba, Year 2013, Number of persons, 339517
Total, Total, Total, Alba, Year 2014, Number of persons, 337717
Total, Total, Total, Alba, Year 2015, Number of persons, 335915
Total, Total, Total, Alba, Year 2016, Number of persons, 333488
Total, Total, Total, Alba, Year 2017, Number of persons, 330954
Total, Total, Total, Alba, Year 2018, Number of persons, 328264
Total, Total, Total, Alba, Year 2019, Number of persons, 325475
Total, Total, Total, Alba, Year 2020, Number of persons, 324071
Total, Total, Total, Alba, Year 2021, Number of persons, 320917
Total, Total, Total, Alba, Year 2022, Number of persons, 317249
Total, Total, Total, Brasov, Year 2012, Number of persons, 549519
Total, Total, Total, Brasov, Year 2013, Number of persons, 550713
Total, Total, Total, Brasov, Year 2014, Number of persons, 550912
Total, Total, Total, Brasov, Year 2015, Number of persons, 551160
Total, Total, Total, Brasov, Year 2016, Number of persons, 550934
Total, Total, Total, Brasov, Year 2017, Number of persons, 550789
Total, Total, Total, Brasov, Year 2018, Number of persons, 551185
Total, Total, Total, Brasov, Year 2019, Number of persons, 552390
Total, Total, Total, Brasov, Year 2020, Number of persons, 554014
Total, Total, Total, Brasov, Year 2021, Number of persons, 553256
Total, Total, Total, Brasov, Year 2022, Number of persons, 553666
Total, Total, Total, Covasna, Year 2012, Number of persons, 209713
Total, Total, Total, Covasna, Year 2013, Number of persons, 208976
Total, Total, Total, Covasna, Year 2014, Number of persons, 208628
Total, Total, Total, Covasna, Year 2015, Number of persons, 207569
Total, Total, Total, Covasna, Year 2016, Number of persons, 206279
Total, Total, Total, Covasna, Year 2017, Number of persons, 204929
Total, Total, Total, Covasna, Year 2018, Number of persons, 203471
Total, Total, Total, Covasna, Year 2019, Number of persons, 202113
Total, Total, Total, Covasna, Year 2020, Number of persons, 201503
Total, Total, Total, Covasna, Year 2021, Number of persons, 200050
Total, Total, Total, Covasna, Year 2022, Number of persons, 198335
Total, Total, Total, Harghita, Year 2012, Number of persons, 311048
Total, Total, Total, Harghita, Year 2013, Number of persons, 310842
Total, Total, Total, Harghita, Year 2014, Number of persons, 310360
Total, Total, Total, Harghita, Year 2015, Number of persons, 309133
Total, Total, Total, Harghita, Year 2016, Number of persons, 307555
Total, Total, Total, Harghita, Year 2017, Number of persons, 305676
Total, Total, Total, Harghita, Year 2018, Number of persons, 304219
Total, Total, Total, Harghita, Year 2019, Number of persons, 302291
Total, Total, Total, Harghita, Year 2020, Number of persons, 301521
Total, Total, Total, Harghita, Year 2021, Number of persons, 299075
Total, Total, Total, Harghita, Year 2022, Number of persons, 296527
Total, Total, Total, Mures, Year 2012, Number of persons, 550214
Total, Total, Total, Mures, Year 2013, Number of persons, 549097
Total, Total, Total, Mures, Year 2014, Number of persons, 547861
Total, Total, Total, Mures, Year 2015, Number of persons, 546532
Total, Total, Total, Mures, Year 2016, Number of persons, 543726
Total, Total, Total, Mures, Year 2017, Number of persons, 540719
Total, Total, Total, Mures, Year 2018, Number of persons, 538214
Total, Total, Total, Mures, Year 2019, Number of persons, 535202
Total, Total, Total, Mures, Year 2020, Number of persons, 533355
Total, Total, Total, Mures, Year 2021, Number of persons, 529325
Total, Total, Total, Mures, Year 2022, Number of persons, 525479
Total, Total, Total, Sibiu, Year 2012, Number of persons, 398605
Total, Total, Total, Sibiu, Year 2013, Number of persons, 400260
Total, Total, Total, Sibiu, Year 2014, Number of persons, 400268
Total, Total, Total, Sibiu, Year 2015, Number of persons, 400230
Total, Total, Total, Sibiu, Year 2016, Number of persons, 399982
Total, Total, Total, Sibiu, Year 2017, Number of persons, 399724
Total, Total, Total, Sibiu, Year 2018, Number of persons, 400018
Total, Total, Total, Sibiu, Year 2019, Number of persons, 400988
Total, Total, Total, Sibiu, Year 2020, Number of persons, 401352
Total, Total, Total, Sibiu, Year 2021, Number of persons, 400210
Total, Total, Total, Sibiu, Year 2022, Number of persons, 399624
Total, Total, Total, MACROREGION 2, Year 2012, Number of persons, 5833153
Total, Total, Total, MACROREGION 2, Year 2013, Number of persons, 5802152
Total, Total, Total, MACROREGION 2, Year 2014, Number of persons, 5785228
Total, Total, Total, MACROREGION 2, Year 2015, Number of persons, 5764792
Total, Total, Total, MACROREGION 2, Year 2016, Number of persons, 5726602
Total, Total, Total, MACROREGION 2, Year 2017, Number of persons, 5686878
Total, Total, Total, MACROREGION 2, Year 2018, Number of persons, 5645791
Total, Total, Total, MACROREGION 2, Year 2019, Number of persons, 5601202
Total, Total, Total, MACROREGION 2, Year 2020, Number of persons, 5574197
Total, Total, Total, MACROREGION 2, Year 2021, Number of persons, 5515101
Total, Total, Total, MACROREGION 2, Year 2022, Number of persons, 5456427
Total, Total, Total, NORTH - EAST, Year 2012, Number of persons, 3294204
Total, Total, Total, NORTH - EAST, Year 2013, Number of persons, 3278798
Total, Total, Total, NORTH - EAST, Year 2014, Number of persons, 3275425
Total, Total, Total, NORTH - EAST, Year 2015, Number of persons, 3272210
Total, Total, Total, NORTH - EAST, Year 2016, Number of persons, 3256734
Total, Total, Total, NORTH - EAST, Year 2017, Number of persons, 3239573
Total, Total, Total, NORTH - EAST, Year 2018, Number of persons, 3222732
Total, Total, Total, NORTH - EAST, Year 2019, Number of persons, 3202800
Total, Total, Total, NORTH - EAST, Year 2020, Number of persons, 3192890
Total, Total, Total, NORTH - EAST, Year 2021, Number of persons, 3163465
Total, Total, Total, NORTH - EAST, Year 2022, Number of persons, 3136610
Total, Total, Total, Bacau, Year 2012, Number of persons, 614316
Total, Total, Total, Bacau, Year 2013, Number of persons, 609948
Total, Total, Total, Bacau, Year 2014, Number of persons, 606975
Total, Total, Total, Bacau, Year 2015, Number of persons, 604567
Total, Total, Total, Bacau, Year 2016, Number of persons, 600549
Total, Total, Total, Bacau, Year 2017, Number of persons, 595534
Total, Total, Total, Bacau, Year 2018, Number of persons, 591053
Total, Total, Total, Bacau, Year 2019, Number of persons, 585548
Total, Total, Total, Bacau, Year 2020, Number of persons, 582495
Total, Total, Total, Bacau, Year 2021, Number of persons, 575580
Total, Total, Total, Bacau, Year 2022, Number of persons, 567744
Total, Total, Total, Botosani, Year 2012, Number of persons, 410706
Total, Total, Total, Botosani, Year 2013, Number of persons, 406330
Total, Total, Total, Botosani, Year 2014, Number of persons, 403205
Total, Total, Total, Botosani, Year 2015, Number of persons, 399273
Total, Total, Total, Botosani, Year 2016, Number of persons, 394625
Total, Total, Total, Botosani, Year 2017, Number of persons, 390320
Total, Total, Total, Botosani, Year 2018, Number of persons, 385268
Total, Total, Total, Botosani, Year 2019, Number of persons, 380142
Total, Total, Total, Botosani, Year 2020, Number of persons, 377679
Total, Total, Total, Botosani, Year 2021, Number of persons, 371805
Total, Total, Total, Botosani, Year 2022, Number of persons, 365279
Total, Total, Total, Iasi, Year 2012, Number of persons, 772979
Total, Total, Total, Iasi, Year 2013, Number of persons, 775165
Total, Total, Total, Iasi, Year 2014, Number of persons, 781503
Total, Total, Total, Iasi, Year 2015, Number of persons, 787589
Total, Total, Total, Iasi, Year 2016, Number of persons, 788659
Total, Total, Total, Iasi, Year 2017, Number of persons, 789935
Total, Total, Total, Iasi, Year 2018, Number of persons, 791753
Total, Total, Total, Iasi, Year 2019, Number of persons, 794706
Total, Total, Total, Iasi, Year 2020, Number of persons, 794979
Total, Total, Total, Iasi, Year 2021, Number of persons, 794752
Total, Total, Total, Iasi, Year 2022, Number of persons, 800083
Total, Total, Total, Neamt, Year 2012, Number of persons, 468429
Total, Total, Total, Neamt, Year 2013, Number of persons, 464758
Total, Total, Total, Neamt, Year 2014, Number of persons, 462109
Total, Total, Total, Neamt, Year 2015, Number of persons, 459457
Total, Total, Total, Neamt, Year 2016, Number of persons, 455643
Total, Total, Total, Neamt, Year 2017, Number of persons, 451544
Total, Total, Total, Neamt, Year 2018, Number of persons, 447232
Total, Total, Total, Neamt, Year 2019, Number of persons, 442132
Total, Total, Total, Neamt, Year 2020, Number of persons, 439179
Total, Total, Total, Neamt, Year 2021, Number of persons, 432986
Total, Total, Total, Neamt, Year 2022, Number of persons, 424966
Total, Total, Total, Suceava, Year 2012, Number of persons, 633658
Total, Total, Total, Suceava, Year 2013, Number of persons, 632210
Total, Total, Total, Suceava, Year 2014, Number of persons, 631760
Total, Total, Total, Suceava, Year 2015, Number of persons, 631309
Total, Total, Total, Suceava, Year 2016, Number of persons, 629733
Total, Total, Total, Suceava, Year 2017, Number of persons, 628316
Total, Total, Total, Suceava, Year 2018, Number of persons, 627439
Total, Total, Total, Suceava, Year 2019, Number of persons, 625969
Total, Total, Total, Suceava, Year 2020, Number of persons, 625431
Total, Total, Total, Suceava, Year 2021, Number of persons, 620092
Total, Total, Total, Suceava, Year 2022, Number of persons, 615860
Total, Total, Total, Vaslui, Year 2012, Number of persons, 394116
Total, Total, Total, Vaslui, Year 2013, Number of persons, 390387
Total, Total, Total, Vaslui, Year 2014, Number of persons, 389873
Total, Total, Total, Vaslui, Year 2015, Number of persons, 390015
Total, Total, Total, Vaslui, Year 2016, Number of persons, 387525
Total, Total, Total, Vaslui, Year 2017, Number of persons, 383924
Total, Total, Total, Vaslui, Year 2018, Number of persons, 379987
Total, Total, Total, Vaslui, Year 2019, Number of persons, 374303
Total, Total, Total, Vaslui, Year 2020, Number of persons, 373127
Total, Total, Total, Vaslui, Year 2021, Number of persons, 368250
Total, Total, Total, Vaslui, Year 2022, Number of persons, 362678
Total, Total, Total, SOUTH - EAST, Year 2012, Number of persons, 2538949
Total, Total, Total, SOUTH - EAST, Year 2013, Number of persons, 2523354
Total, Total, Total, SOUTH - EAST, Year 2014, Number of persons, 2509803
Total, Total, Total, SOUTH - EAST, Year 2015, Number of persons, 2492582
Total, Total, Total, SOUTH - EAST, Year 2016, Number of persons, 2469868
Total, Total, Total, SOUTH - EAST, Year 2017, Number of persons, 2447305
Total, Total, Total, SOUTH - EAST, Year 2018, Number of persons, 2423059
Total, Total, Total, SOUTH - EAST, Year 2019, Number of persons, 2398402
Total, Total, Total, SOUTH - EAST, Year 2020, Number of persons, 2381307
Total, Total, Total, SOUTH - EAST, Year 2021, Number of persons, 2351636
Total, Total, Total, SOUTH - EAST, Year 2022, Number of persons, 2319817
Total, Total, Total, Braila, Year 2012, Number of persons, 319674
Total, Total, Total, Braila, Year 2013, Number of persons, 315598
Total, Total, Total, Braila, Year 2014, Number of persons, 312152
Total, Total, Total, Braila, Year 2015, Number of persons, 308203
Total, Total, Total, Braila, Year 2016, Number of persons, 303608
Total, Total, Total, Braila, Year 2017, Number of persons, 299087
Total, Total, Total, Braila, Year 2018, Number of persons, 294097
Total, Total, Total, Braila, Year 2019, Number of persons, 289534
Total, Total, Total, Braila, Year 2020, Number of persons, 286021
Total, Total, Total, Braila, Year 2021, Number of persons, 280679
Total, Total, Total, Braila, Year 2022, Number of persons, 274718
Total, Total, Total, Buzau, Year 2012, Number of persons, 449218
Total, Total, Total, Buzau, Year 2013, Number of persons, 444993
Total, Total, Total, Buzau, Year 2014, Number of persons, 441016
Total, Total, Total, Buzau, Year 2015, Number of persons, 436478
Total, Total, Total, Buzau, Year 2016, Number of persons, 431015
Total, Total, Total, Buzau, Year 2017, Number of persons, 425842
Total, Total, Total, Buzau, Year 2018, Number of persons, 419831
Total, Total, Total, Buzau, Year 2019, Number of persons, 413808
Total, Total, Total, Buzau, Year 2020, Number of persons, 409388
Total, Total, Total, Buzau, Year 2021, Number of persons, 403709
Total, Total, Total, Buzau, Year 2022, Number of persons, 396046
Total, Total, Total, Constanta, Year 2012, Number of persons, 683866
Total, Total, Total, Constanta, Year 2013, Number of persons, 684458
Total, Total, Total, Constanta, Year 2014, Number of persons, 684392
Total, Total, Total, Constanta, Year 2015, Number of persons, 683329
Total, Total, Total, Constanta, Year 2016, Number of persons, 681054
Total, Total, Total, Constanta, Year 2017, Number of persons, 678316
Total, Total, Total, Constanta, Year 2018, Number of persons, 676095
Total, Total, Total, Constanta, Year 2019, Number of persons, 673764
Total, Total, Total, Constanta, Year 2020, Number of persons, 672451
Total, Total, Total, Constanta, Year 2021, Number of persons, 668065
Total, Total, Total, Constanta, Year 2022, Number of persons, 664034
Total, Total, Total, Galati, Year 2012, Number of persons, 534577
Total, Total, Total, Galati, Year 2013, Number of persons, 530914
Total, Total, Total, Galati, Year 2014, Number of persons, 528216
Total, Total, Total, Galati, Year 2015, Number of persons, 524751
Total, Total, Total, Galati, Year 2016, Number of persons, 520058
Total, Total, Total, Galati, Year 2017, Number of persons, 515297
Total, Total, Total, Galati, Year 2018, Number of persons, 510865
Total, Total, Total, Galati, Year 2019, Number of persons, 506135
Total, Total, Total, Galati, Year 2020, Number of persons, 503506
Total, Total, Total, Galati, Year 2021, Number of persons, 495149
Total, Total, Total, Galati, Year 2022, Number of persons, 489552
Total, Total, Total, Tulcea, Year 2012, Number of persons, 212012
Total, Total, Total, Tulcea, Year 2013, Number of persons, 210119
Total, Total, Total, Tulcea, Year 2014, Number of persons, 208289
Total, Total, Total, Tulcea, Year 2015, Number of persons, 206013
Total, Total, Total, Tulcea, Year 2016, Number of persons, 203196
Total, Total, Total, Tulcea, Year 2017, Number of persons, 200706
Total, Total, Total, Tulcea, Year 2018, Number of persons, 197734
Total, Total, Total, Tulcea, Year 2019, Number of persons, 194439
Total, Total, Total, Tulcea, Year 2020, Number of persons, 192163
Total, Total, Total, Tulcea, Year 2021, Number of persons, 189707
Total, Total, Total, Tulcea, Year 2022, Number of persons, 185974
Total, Total, Total, Vrancea, Year 2012, Number of persons, 339602
Total, Total, Total, Vrancea, Year 2013, Number of persons, 337272
Total, Total, Total, Vrancea, Year 2014, Number of persons, 335738
Total, Total, Total, Vrancea, Year 2015, Number of persons, 333808
Total, Total, Total, Vrancea, Year 2016, Number of persons, 330937
Total, Total, Total, Vrancea, Year 2017, Number of persons, 328057
Total, Total, Total, Vrancea, Year 2018, Number of persons, 324437
Total, Total, Total, Vrancea, Year 2019, Number of persons, 320722
Total, Total, Total, Vrancea, Year 2020, Number of persons, 317778
Total, Total, Total, Vrancea, Year 2021, Number of persons, 314327
Total, Total, Total, Vrancea, Year 2022, Number of persons, 309493
Total, Total, Total, MACROREGION 3, Year 2012, Number of persons, 5407944
Total, Total, Total, MACROREGION 3, Year 2013, Number of persons, 5390394
Total, Total, Total, MACROREGION 3, Year 2014, Number of persons, 5369136
Total, Total, Total, MACROREGION 3, Year 2015, Number of persons, 5346202
Total, Total, Total, MACROREGION 3, Year 2016, Number of persons, 5319758
Total, Total, Total, MACROREGION 3, Year 2017, Number of persons, 5290398
Total, Total, Total, MACROREGION 3, Year 2018, Number of persons, 5267706
Total, Total, Total, MACROREGION 3, Year 2019, Number of persons, 5248795
Total, Total, Total, MACROREGION 3, Year 2020, Number of persons, 5231132
Total, Total, Total, MACROREGION 3, Year 2021, Number of persons, 5196051
Total, Total, Total, MACROREGION 3, Year 2022, Number of persons, 5159112
Total, Total, Total, SOUTH - MUNTENIA, Year 2012, Number of persons, 3128799
Total, Total, Total, SOUTH - MUNTENIA, Year 2013, Number of persons, 3108150
Total, Total, Total, SOUTH - MUNTENIA, Year 2014, Number of persons, 3085723
Total, Total, Total, SOUTH - MUNTENIA, Year 2015, Number of persons, 3061759
Total, Total, Total, SOUTH - MUNTENIA, Year 2016, Number of persons, 3031555
Total, Total, Total, SOUTH - MUNTENIA, Year 2017, Number of persons, 3003333
Total, Total, Total, SOUTH - MUNTENIA, Year 2018, Number of persons, 2965415
Total, Total, Total, SOUTH - MUNTENIA, Year 2019, Number of persons, 2930686
Total, Total, Total, SOUTH - MUNTENIA, Year 2020, Number of persons, 2903211
Total, Total, Total, SOUTH - MUNTENIA, Year 2021, Number of persons, 2868994
Total, Total, Total, SOUTH - MUNTENIA, Year 2022, Number of persons, 2817439
Total, Total, Total, Arges, Year 2012, Number of persons, 611024
Total, Total, Total, Arges, Year 2013, Number of persons, 606789
Total, Total, Total, Arges, Year 2014, Number of persons, 604153
Total, Total, Total, Arges, Year 2015, Number of persons, 600301
Total, Total, Total, Arges, Year 2016, Number of persons, 595764
Total, Total, Total, Arges, Year 2017, Number of persons, 590522
Total, Total, Total, Arges, Year 2018, Number of persons, 585713
Total, Total, Total, Arges, Year 2019, Number of persons, 579904
Total, Total, Total, Arges, Year 2020, Number of persons, 575197
Total, Total, Total, Arges, Year 2021, Number of persons, 567678
Total, Total, Total, Arges, Year 2022, Number of persons, 560554
Total, Total, Total, Calarasi, Year 2012, Number of persons, 305779
Total, Total, Total, Calarasi, Year 2013, Number of persons, 303881
Total, Total, Total, Calarasi, Year 2014, Number of persons, 301326
Total, Total, Total, Calarasi, Year 2015, Number of persons, 298763
Total, Total, Total, Calarasi, Year 2016, Number of persons, 295505
Total, Total, Total, Calarasi, Year 2017, Number of persons, 292841
Total, Total, Total, Calarasi, Year 2018, Number of persons, 288061
Total, Total, Total, Calarasi, Year 2019, Number of persons, 284393
Total, Total, Total, Calarasi, Year 2020, Number of persons, 280483
Total, Total, Total, Calarasi, Year 2021, Number of persons, 277701
Total, Total, Total, Calarasi, Year 2022, Number of persons, 271695
Total, Total, Total, Dambovita, Year 2012, Number of persons, 517657
Total, Total, Total, Dambovita, Year 2013, Number of persons, 515623
Total, Total, Total, Dambovita, Year 2014, Number of persons, 512741
Total, Total, Total, Dambovita, Year 2015, Number of persons, 509552
Total, Total, Total, Dambovita, Year 2016, Number of persons, 505219
Total, Total, Total, Dambovita, Year 2017, Number of persons, 501269
Total, Total, Total, Dambovita, Year 2018, Number of persons, 496213
Total, Total, Total, Dambovita, Year 2019, Number of persons, 491368
Total, Total, Total, Dambovita, Year 2020, Number of persons, 487387
Total, Total, Total, Dambovita, Year 2021, Number of persons, 483102
Total, Total, Total, Dambovita, Year 2022, Number of persons, 476963
Total, Total, Total, Giurgiu, Year 2012, Number of persons, 281295
Total, Total, Total, Giurgiu, Year 2013, Number of persons, 281989
Total, Total, Total, Giurgiu, Year 2014, Number of persons, 278473
Total, Total, Total, Giurgiu, Year 2015, Number of persons, 276664
Total, Total, Total, Giurgiu, Year 2016, Number of persons, 274570
Total, Total, Total, Giurgiu, Year 2017, Number of persons, 273989
Total, Total, Total, Giurgiu, Year 2018, Number of persons, 269239
Total, Total, Total, Giurgiu, Year 2019, Number of persons, 266207
Total, Total, Total, Giurgiu, Year 2020, Number of persons, 263329
Total, Total, Total, Giurgiu, Year 2021, Number of persons, 261050
Total, Total, Total, Giurgiu, Year 2022, Number of persons, 253267
Total, Total, Total, Ialomita, Year 2012, Number of persons, 273317
Total, Total, Total, Ialomita, Year 2013, Number of persons, 271030
Total, Total, Total, Ialomita, Year 2014, Number of persons, 269386
Total, Total, Total, Ialomita, Year 2015, Number of persons, 267230
Total, Total, Total, Ialomita, Year 2016, Number of persons, 264733
Total, Total, Total, Ialomita, Year 2017, Number of persons, 262237
Total, Total, Total, Ialomita, Year 2018, Number of persons, 259143
Total, Total, Total, Ialomita, Year 2019, Number of persons, 256499
Total, Total, Total, Ialomita, Year 2020, Number of persons, 255032
Total, Total, Total, Ialomita, Year 2021, Number of persons, 251917
Total, Total, Total, Ialomita, Year 2022, Number of persons, 247083
Total, Total, Total, Prahova, Year 2012, Number of persons, 761699
Total, Total, Total, Prahova, Year 2013, Number of persons, 756635
Total, Total, Total, Prahova, Year 2014, Number of persons, 752405
Total, Total, Total, Prahova, Year 2015, Number of persons, 747634
Total, Total, Total, Prahova, Year 2016, Number of persons, 740483
Total, Total, Total, Prahova, Year 2017, Number of persons, 732847
Total, Total, Total, Prahova, Year 2018, Number of persons, 725599
Total, Total, Total, Prahova, Year 2019, Number of persons, 718098
Total, Total, Total, Prahova, Year 2020, Number of persons, 712725
Total, Total, Total, Prahova, Year 2021, Number of persons, 703368
Total, Total, Total, Prahova, Year 2022, Number of persons, 693482
Total, Total, Total, Teleorman, Year 2012, Number of persons, 378028
Total, Total, Total, Teleorman, Year 2013, Number of persons, 372203
Total, Total, Total, Teleorman, Year 2014, Number of persons, 367239
Total, Total, Total, Teleorman, Year 2015, Number of persons, 361615
Total, Total, Total, Teleorman, Year 2016, Number of persons, 355281
Total, Total, Total, Teleorman, Year 2017, Number of persons, 349628
Total, Total, Total, Teleorman, Year 2018, Number of persons, 341447
Total, Total, Total, Teleorman, Year 2019, Number of persons, 334217
Total, Total, Total, Teleorman, Year 2020, Number of persons, 329058
Total, Total, Total, Teleorman, Year 2021, Number of persons, 324178
Total, Total, Total, Teleorman, Year 2022, Number of persons, 314395
Total, Total, Total, BUCHAREST - ILFOV, Year 2012, Number of persons, 2279145
Total, Total, Total, BUCHAREST - ILFOV, Year 2013, Number of persons, 2282244
Total, Total, Total, BUCHAREST - ILFOV, Year 2014, Number of persons, 2283413
